Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Latitude;Longitude;Nom communes équipées
19003;Quai de la Seine;SANN;24;20;1;1;0;SANN;SANN;2022-10-05;48,88449224;2,37039417;Paris
8009;Gare Saint-Lazare - Isly;SANN;27;6;19;12;7;SANN;SANN;2022-10-05;48,87477768;2,326515805;Paris
8036;Lisbonne - Monceau;SANN;33;1;32;13;19;SANN;SANN;2022-10-05;48,87745568;2,309694221;Paris
1001;Quai de l'Horloge - Pont Neuf;SANN;17;8;7;3;4;SANN;SANN;2022-10-05;48,85705874;2,341798284;Paris
12151;Gare de Lyon - Place Louis Armand;SANN;60;24;35;28;7;SANN;SANN;2022-10-05;48,84551509;2,372649845;Paris
6001;Institut de France;SANN;17;0;16;11;5;SANN;SANN;2022-10-05;48,85761568;2,335831353;Paris
92007;Pesaro - Préfecture;SANN;22;8;12;6;6;SANN;SANN;2022-10-05;48,89577046;2,223908342;Nanterre
17008;Porte Pouchet-Bessières;SANN;23;17;5;3;2;SANN;SANN;2022-10-05;48,8978765;2,3230632;Paris
9028;Moncey - Blanche;SANN;17;13;3;0;3;SANN;SANN;2022-10-05;48,88006587;2,331081033;Paris
7025;Octave Gréard - Tour Eiffel;SANN;33;4;28;19;9;SANN;SANN;2022-10-05;48,85650298;2,293178754;Paris
17043;Belidor - Gouvion-Saint-Cyr;SANN;39;37;2;0;2;SANN;SANN;2022-10-05;48,88022154;2,285468057;Paris
19015;Thionville - Ourcq;SANN;24;19;3;1;2;SANN;SANN;2022-10-05;48,88917614;2,383365333;Paris
11002;Roquette - Thiéré;SANN;23;12;10;4;6;SANN;SANN;2022-10-05;48,85507931;2,373368632;Paris
26003;Argenteuil - Voltaire;SANN;16;15;0;0;0;SANN;SANN;2022-10-05;48,91864866;2,281411216;Asnières-sur-Seine
16039;Exelmans - Versailles;SANN;49;35;11;10;1;SANN;SANN;2022-10-05;48,84097491;2,264390253;Paris
17004;Legendre - Clichy;SANN;40;37;2;1;1;SANN;SANN;2022-10-05;48,88896162;2,322528975;Paris
11023;Saint-Maur - Roquette;SANN;46;44;0;0;0;SANN;SANN;2022-10-05;48,85868877;2,383553995;Paris
45003;11 Novembre 1918 - 8 Mai 1945;SANN;36;30;6;2;4;SANN;SANN;2022-10-05;48,80889534;2,538242117;Champigny-sur-Marne
18107;Chartres - La Charbonnière;SANN;34;30;2;1;1;SANN;SANN;2022-10-05;48,8847601;2,3534657;Paris
